time, t, R, r, q, v, a, l, step
2019-08-08_0h-46m-17s,33601,202.968,1.01484,9775.05380859375,9775.05380859375,-0.11358417422696947,0.008350743878632784,200
2019-08-08_0h-55m-54s,33801,200.748,1.0037399999999999,9782.1170859375,9782.1170859375,-0.11914116787537932,0.008381752576678992,200
2019-08-08_1h-5m-39s,34001,201.768,1.00884,9788.93469921875,9788.93469921875,-0.07149622962158173,0.008390780590474605,200
2019-08-08_1h-15m-29s,34201,202.50000000000003,1.0125000000000002,9795.6252734375,9795.6252734375,-0.11294122452661395,0.008452777434140444,200
2019-08-08_1h-25m-12s,34401,202.488,1.01244,9802.20274609375,9802.20274609375,-0.11551396792009472,0.008418167255818844,200
2019-08-08_1h-34m-56s,34601,201.36,1.0068000000000001,9808.72392578125,9808.72392578125,-0.08850070724636316,0.008396296724677085,200
2019-08-08_1h-44m-44s,34801,203.70000000000002,1.0185000000000002,9815.00265234375,9815.00265234375,-0.10828663047589362,0.008410395096987485,200
2019-08-08_1h-54m-31s,35001,202.44,1.0122,9821.182277343749,9821.182277343749,-0.08330150815099477,0.008421197541058063,200
2019-08-08_2h-4m-22s,35201,202.812,1.01406,9827.2418828125,9827.2418828125,-0.1161623896844685,0.00837265306711197,200
2019-08-08_2h-14m-10s,35401,201.852,1.00926,9833.09912109375,9833.09912109375,-0.06408098299708218,0.008407524835318326,200
2019-08-08_2h-24m-1s,35601,201.9,1.0095,9838.8587734375,9838.8587734375,-0.09100950396945699,0.008405927378684282,200
2019-08-08_2h-33m-48s,35801,200.48399999999998,1.0024199999999999,9844.591457031249,9844.591457031249,-0.0784611930772662,0.008411973018199206,200
2019-08-08_2h-43m-37s,36001,202.06799999999998,1.01034,9850.183355468751,9850.183355468751,-0.0811458348063752,0.008425096705555916,200
2019-08-08_2h-53m-35s,36201,202.692,1.01346,9855.66572265625,9855.66572265625,-0.10232300095260143,0.008444076709449291,200
2019-08-08_3h-3m-23s,36401,201.948,1.00974,9861.03427734375,9861.03427734375,-0.08839534288737923,0.008420933041721583,200
2019-08-08_3h-13m-15s,36601,203.46,1.0173,9866.33041015625,9866.33041015625,-0.07756171302776785,0.008441852539777755,200
2019-08-08_3h-23m-6s,36801,201.672,1.00836,9871.5086328125,9871.5086328125,-0.0957977299541235,0.008420515608042477,200
2019-08-08_3h-32m-57s,37001,201.864,1.00932,9876.60080078125,9876.60080078125,-0.11648934559151529,0.008388622887432575,200
2019-08-08_3h-42m-50s,37201,202.22400000000002,1.01112,9881.5769609375,9881.5769609375,-0.08906001815944911,0.008448343504220248,200
2019-08-08_3h-52m-43s,37401,202.344,1.01172,9886.4877421875,9886.4877421875,-0.11226218782365323,0.008459564052522182,200
2019-08-08_4h-2m-35s,37601,202.548,1.01274,9891.20978515625,9891.20978515625,-0.09810329933278263,0.008423197977244853,200
2019-08-08_4h-12m-28s,37801,201.648,1.00824,9895.900109375001,9895.900109375001,-0.08366130585968494,0.0084496281594038,200
2019-08-08_4h-22m-22s,38001,202.788,1.01394,9900.498742187501,9900.498742187501,-0.0910128400940448,0.008415729232132435,200
2019-08-08_4h-32m-17s,38201,200.688,1.0034399999999999,9904.96485546875,9904.96485546875,-0.07457682032790035,0.008385832194238902,200
2019-08-08_4h-42m-15s,38401,202.848,1.01424,9909.207195312501,9909.207195312501,-0.06320924581377767,0.008412288546562195,200
2019-08-08_4h-52m-9s,38601,201.708,1.00854,9913.5005390625,9913.5005390625,-0.0730802405285649,0.008404802467674017,200
2019-08-08_5h-2m-4s,38801,201.84,1.0092,9917.652328125001,9917.652328125001,-0.0747261709108716,0.008414697896689177,200
2019-08-08_5h-12m-1s,39001,201.56400000000002,1.0078200000000002,9921.78319140625,9921.78319140625,-0.09544204736466054,0.008444213930517436,200
2019-08-08_5h-21m-58s,39201,203.148,1.01574,9925.8748671875,9925.8748671875,-0.07102725498755172,0.008432448331266641,200
2019-08-08_5h-31m-56s,39401,203.20800000000003,1.01604,9929.83430078125,9929.83430078125,-0.04269271734368522,0.008415498107671737,200
2019-08-08_5h-41m-59s,39601,201.66,1.0083,9933.66276953125,9933.66276953125,-0.10217180946888402,0.008447143621742726,200
2019-08-08_5h-51m-56s,39801,202.008,1.01004,9937.40459765625,9937.40459765625,-0.06838826778830845,0.008393935766071082,200
2019-08-08_6h-1m-54s,40001,202.344,1.01172,9941.136136718751,9941.136136718751,-0.06434352083364502,0.008429653350263834,200
2019-08-08_6h-12m-10s,40201,203.41199999999998,1.0170599999999999,9944.798601562501,9944.798601562501,-0.07608780679758638,0.008402418866753577,200
===========================================2019-08-10 19:38:27.016264
2019-08-10_19h-46m-44s,40202,202.716,1.0135800000000001,7489.151537353517,7490.221434631347,-1.0698742214171797,0.008845276876352727,200
2019-08-10_19h-55m-4s,40402,201.79199999999997,1.0089599999999999,9957.27550390625,9957.81324609375,-0.537803113847971,0.00867071308940649,200
2019-08-10_20h-3m-31s,40602,202.14000000000001,1.0107000000000002,9961.469046875001,9961.732195312501,-0.2631483307592571,0.008464665401726962,200
2019-08-10_20h-11m-56s,40802,203.48399999999998,1.01742,9965.201625,9965.3177734375,-0.11617299691447988,0.008444101732224225,200
2019-08-10_20h-20m-21s,41002,201.168,1.00584,9968.83816796875,9968.97970703125,-0.14149985256162473,0.008508350078016518,200
2019-08-10_20h-28m-43s,41202,202.332,1.01166,9972.303875000001,9972.4509140625,-0.14701965709403159,0.00848333965614438,200
2019-08-10_20h-37m-5s,41402,202.332,1.01166,9975.73621484375,9975.9382109375,-0.20194985602796076,0.008454989098012447,200
2019-08-10_20h-45m-27s,41602,202.11599999999999,1.01058,9979.18769921875,9979.36137890625,-0.173629989547655,0.008520458344370128,200
2019-08-10_20h-53m-49s,41802,202.812,1.01406,9982.36017578125,9982.52825,-0.16810948741948234,0.008538139380514622,200
2019-08-10_21h-2m-19s,42002,200.952,1.00476,9985.553828125001,9985.697027343751,-0.14316498904768377,0.008653806779533625,200
2019-08-10_21h-10m-43s,42202,202.95600000000002,1.01478,9988.5486875,9988.65251171875,-0.10379345830442617,0.008594524167478084,200
2019-08-10_21h-19m-2s,42402,204.18,1.0209000000000001,9991.574390625,9991.674734375,-0.1003987936191261,0.008628875333815813,200
2019-08-10_21h-27m-23s,42602,202.74,1.0137,9994.52094921875,9994.61801171875,-0.09708039361052215,0.008598794359713793,200
2019-08-10_21h-35m-42s,42802,202.14000000000001,1.0107000000000002,9997.566820312499,9997.681093750001,-0.1142025338150561,0.008586713004857301,200
2019-08-10_21h-43m-55s,43002,203.184,1.01592,10000.594800781251,10000.748964843751,-0.15409042484313248,0.00851013769954443,200
2019-08-10_21h-52m-13s,43202,201.15599999999998,1.00578,10003.49232421875,10003.62582421875,-0.13350801507383586,0.00849092584848404,200
2019-08-10_22h-0m-29s,43402,202.176,1.01088,10006.1734765625,10006.26515625,-0.09166993182338774,0.00847879197448492,200
2019-08-10_22h-8m-41s,43602,201.228,1.00614,10008.86551171875,10008.9718046875,-0.1063070622687228,0.00841557665169239,200
2019-08-10_22h-16m-56s,43802,202.188,1.01094,10011.3479765625,10011.4400390625,-0.09207600325066596,0.008409381344914436,200
