state, action, reward
1.188;0.0292;0.5036;0.4672;0.0027;0.046;0.0427,105;80;100,0.768
0.9;0.0234;0.5469;0.4297;0.002;0.0467;0.0367,30;50;120,0.732
1.02;0.0247;0.4568;0.5185;0.0013;0.0247;0.028,75;115;55,0.864
0.852;0.0326;0.4783;0.4891;0.002;0.0293;0.03,110;80;95,0.948
1.032;0.0878;0.5;0.4122;0.0087;0.0493;0.0407,75;30;100,0.756
0.384;0.0;0.4923;0.5077;0.0;0.0213;0.022,120;35;30,0.852
1.308;0.0982;0.4643;0.4375;0.0073;0.0347;0.0327,110;95;120,0.84
0.732;0.0132;0.5132;0.4737;0.0007;0.026;0.024,40;85;50,0.912
0.972;0.0602;0.506;0.4337;0.0033;0.028;0.024,75;105;120,0.984
0.564;0.0282;0.4648;0.507;0.0013;0.022;0.024,55;45;35,0.9
1.116;0.0;0.5057;0.4943;0.0;0.0293;0.0287,50;110;95,1.044
1.164;0.0222;0.5278;0.45;0.0027;0.0633;0.054,105;95;75,0.792
0.144;0.0366;0.5122;0.4512;0.002;0.028;0.0247,95;45;120,0.9
1.008;0.0215;0.5591;0.4194;0.0013;0.0347;0.026,115;45;30,0.924
1.08;0.0562;0.4494;0.4944;0.0033;0.0267;0.0293,90;70;75,0.972
0.948;0.026;0.5065;0.4675;0.0013;0.026;0.024,30;35;105,0.828
1.032;0.0235;0.4824;0.4941;0.0013;0.0273;0.028,45;45;80,0.9
0.804;0.0294;0.4559;0.5147;0.0013;0.0207;0.0233,90;55;40,1.02
0.708;0.0;0.481;0.519;0.0;0.0253;0.0273,30;35;110,0.852
0.888;0.0;0.5;0.5;0.0;0.026;0.026,55;75;55,0.876
1.056;0.0;0.5341;0.4659;0.0;0.0313;0.0273,40;105;50,1.056
0.696;0.0119;0.5357;0.4524;0.0007;0.03;0.0253,75;75;30,0.948
0.804;0.0128;0.5128;0.4744;0.0007;0.0267;0.0247,45;50;85,0.924
1.092;0.0417;0.4896;0.4688;0.0027;0.0313;0.03,45;85;40,1.008
1.008;0.0;0.5732;0.4268;0.0;0.0313;0.0233,70;115;30,0.948
1.068;0.0531;0.5133;0.4336;0.004;0.0387;0.0327,105;55;50,0.864
1.092;0.0;0.5222;0.4778;0.0;0.0313;0.0287,90;100;80,0.996
1.08;0.0732;0.4553;0.4715;0.006;0.0373;0.0387,110;85;80,0.756
1.008;0.0122;0.4756;0.5122;0.0007;0.026;0.028,110;45;30,0.876
1.044;0.0316;0.5474;0.4211;0.002;0.0347;0.0267,45;50;105,0.984
0.888;0.0141;0.493;0.493;0.0007;0.0233;0.0233,80;110;85,0.852
0.828;0.0385;0.4744;0.4872;0.002;0.0247;0.0253,100;110;50,0.924
1.104;0.0693;0.5347;0.396;0.0047;0.036;0.0267,100;100;50,1.02
0.576;0.0278;0.4861;0.4861;0.0013;0.0233;0.0233,95;70;120,0.852
1.068;0.0857;0.4952;0.419;0.006;0.0347;0.0293,65;65;90,0.984
0.756;0.0;0.4459;0.5541;0.0;0.022;0.0273,55;40;85,0.924
0.888;0.012;0.506;0.4819;0.0007;0.028;0.0267,60;110;95,0.936
1.092;0.0319;0.4787;0.4894;0.002;0.03;0.0307,95;70;60,0.936
0.708;0.0;0.4904;0.5096;0.0;0.034;0.0353,115;110;75,0.852
0.348;0.0595;0.4643;0.4762;0.0033;0.026;0.0267,55;40;85,0.864
0.912;0.0123;0.5185;0.4691;0.0007;0.028;0.0253,35;45;30,0.912
1.08;0.0549;0.4945;0.4505;0.0033;0.03;0.0273,95;80;90,0.876
0.696;0.0133;0.5067;0.48;0.0007;0.0253;0.024,85;110;100,0.864
0.864;0.0323;0.4946;0.4731;0.002;0.0307;0.0293,105;50;115,0.852
0.948;0.0141;0.493;0.493;0.0007;0.0233;0.0233,100;95;40,0.924
1.08;0.1;0.51;0.39;0.0067;0.034;0.026,45;65;40,0.936
1.128;0.0303;0.5051;0.4646;0.002;0.0333;0.0307,115;75;90,0.9
0.456;0.0417;0.4722;0.4861;0.002;0.0227;0.0233,110;110;120,0.912
1.116;0.011;0.4615;0.5275;0.0007;0.028;0.032,65;100;45,0.984
0.996;0.1165;0.466;0.4175;0.008;0.032;0.0287,90;120;30,0.768
0.996;0.037;0.4444;0.5185;0.002;0.024;0.028,30;105;65,0.888
1.056;0.0213;0.4894;0.4894;0.0013;0.0307;0.0307,50;70;95,0.924
1.044;0.0241;0.5181;0.4578;0.0013;0.0287;0.0253,60;75;40,0.96
0.588;0.0152;0.5303;0.4545;0.0007;0.0233;0.02,95;70;95,0.912
1.08;0.0392;0.5;0.4608;0.0027;0.034;0.0313,110;90;40,0.972
0.936;0.0135;0.527;0.4595;0.0007;0.026;0.0227,55;105;35,0.912
0.66;0.0;0.5;0.5;0.0;0.0273;0.0273,40;55;95,0.948
0.708;0.0267;0.44;0.5333;0.0013;0.022;0.0267,105;75;35,0.816
1.008;0.0762;0.5143;0.4095;0.0053;0.036;0.0287,115;90;30,0.78
1.008;0.0;0.5091;0.4909;0.0;0.0373;0.036,35;55;50,0.828
1.008;0.0838;0.4371;0.479;0.0093;0.0487;0.0533,110;30;45,0.768
0.624;0.0;0.4658;0.5342;0.0;0.0227;0.026,115;35;35,0.972
0.876;0.0;0.4878;0.5122;0.0;0.0267;0.028,40;100;55,0.972
0.732;0.0;0.5068;0.4932;0.0;0.0247;0.024,95;120;95,0.9
0.948;0.0;0.561;0.439;0.0;0.0307;0.024,35;100;30,0.876
1.056;0.0116;0.4651;0.5233;0.0007;0.0267;0.03,75;85;50,1.116
0.324;0.0;0.507;0.493;0.0;0.024;0.0233,50;60;55,0.804
1.092;0.0602;0.4458;0.494;0.0033;0.0247;0.0273,120;30;105,0.924
